trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.7071067811865475}",20,0,-177.77536283709264,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.5773502691896258}",35,0,-139.6691401611701,"{0: 21, 1: 2, 2: 10, 3: 2, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.5}",20,0,-108.19843738379518,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.4472135954999579}",20,0,-151.39406007934136,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.4082482904638631}",25,6,-28.477033426708125,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.6, 'e': 0.3779644730092272}",20,13,0.4412368813033831,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.35355339059327373}",30,1,-53.50931125153723,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.3333333333333333}",25,14,-6.373488157455788,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.31622776601683794}",35,0,-54.56242106088226,"{0: 29, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.30151134457776363}",20,10,16.273341216187514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.2886751345948129}",25,17,1.239959163479449,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.2773500981126146}",25,9,-18.994569262343468,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.2672612419124244}",30,17,4.929087598444886,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.2581988897471611}",25,12,-23.588065014125938,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.25}",25,17,-9.638875204168782,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.24253562503633297}",25,14,5.064747819325507,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
