trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.106839022801296,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.35220877606474,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.03071677618851,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.84839108029718,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.63297536187446,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.73785047009527,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.99832909232404,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.77858243615663,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.69191218107385,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.62195764636922,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.88661850409846,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.1499889899326,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.61056816986888,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.16153227121771,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.189196557956,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.48900170476576,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.73199303633,"{0: 20, 1: 2, 2: 3, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.03495594849174,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.70163868385377,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.40515195587925,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.5125729731542,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,13,19.27198512160659,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.96842211226317,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-209.48504688439672,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.76533665070973,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.86009211377726,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.07344321850186,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-187.9859927257154,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.78585078708278,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,7,-98.44850721106106,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",1
